blk_no,street,max_floor_lvl,year_completed,bldg_contract_town,room_type,units,postal,latitude,longitude,town,country,population,town_latitude,town_longitude
81,MACPHERSON LANE,12,1968,GL,total_dwelling_units,130,360081,1.3324,103.8858,Geylang,Singapore,116960,1.3205559999999998,103.886944
82,MACPHERSON LANE,12,1968,GL,total_dwelling_units,94,360082,1.3323,103.8856,Geylang,Singapore,116960,1.3205559999999998,103.886944
83,MACPHERSON LANE,12,1968,GL,total_dwelling_units,93,360083,1.3315,103.8855,Geylang,Singapore,116960,1.3205559999999998,103.886944
115,JLN BT MERAH,12,1968,BM,total_dwelling_units,154,160115,1.2812,103.8265,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
116,JLN BT MERAH,12,1968,BM,total_dwelling_units,154,160116,1.2816,103.8263,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
117,JLN BT MERAH,12,1968,BM,total_dwelling_units,154,160117,1.2813,103.8266,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
121,LOR 2 TOA PAYOH,30,1998,TP,total_dwelling_units,106,310121,1.3392,103.8461,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
122,LOR 2 TOA PAYOH,20,1998,TP,total_dwelling_units,168,310122,1.3398,103.8461,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
2,UPP ALJUNIED LANE,10,1968,TP,total_dwelling_units,94,360002,1.3341,103.8789,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
3,UPP ALJUNIED LANE,10,1968,TP,total_dwelling_units,90,360003,1.3339,103.8799,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
4,UPP ALJUNIED LANE,10,1968,TP,total_dwelling_units,101,360004,1.3336,103.87899999999999,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
5,UPP ALJUNIED LANE,10,1968,TP,total_dwelling_units,99,360005,1.3338,103.8798,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
4,BEACH RD,16,1968,KWN,total_dwelling_units,336,190004,1.3048,103.865,Kallang,Singapore,101210,1.31083,103.86556
5,BEACH RD,16,1968,KWN,total_dwelling_units,336,190005,1.304,103.8653,Kallang,Singapore,101210,1.31083,103.86556
6,BEACH RD,16,1968,KWN,total_dwelling_units,198,190006,1.3036,103.8639,Kallang,Singapore,101210,1.31083,103.86556
32,NEW MKT RD,9,1968,CT,total_dwelling_units,127,50032,1.285,103.8424,Central Area,Singapore,939890,1.300556,103.821667
69,REDHILL CL,30,1999,BM,total_dwelling_units,106,150069,1.2867,103.8163,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
8,JOO SENG RD,18,1993,TP,total_dwelling_units,69,360008,1.3353,103.8787,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
47,LOR 6 TOA PAYOH,10,1968,TP,total_dwelling_units,80,310047,1.3371,103.854,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
146,MEI LING ST,22,1994,QT,total_dwelling_units,84,140146,1.2938,103.8045,Queenstown,Singapore,98050,1.294167,103.786128
147,MEI LING ST,8,1993,QT,total_dwelling_units,24,140147,1.2945,103.8049,Queenstown,Singapore,98050,1.294167,103.786128
148,MEI LING ST,25,1994,QT,total_dwelling_units,110,140148,1.2946,103.8044,Queenstown,Singapore,98050,1.294167,103.786128
149,MEI LING ST,16,1993,QT,total_dwelling_units,68,140149,1.2947,103.8047,Queenstown,Singapore,98050,1.294167,103.786128
150,MEI LING ST,21,1994,QT,total_dwelling_units,109,141150,1.2949,103.8036,Queenstown,Singapore,98050,1.294167,103.786128
151,MEI LING ST,10,1968,QT,total_dwelling_units,196,140151,1.2947,103.803,Queenstown,Singapore,98050,1.294167,103.786128
66,LOR 4 TOA PAYOH,12,1968,TP,total_dwelling_units,140,310066,1.3352,103.8518,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
69,LOR 4 TOA PAYOH,12,1968,TP,total_dwelling_units,90,310069,1.3342,103.8528,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
70,LOR 4 TOA PAYOH,4,1968,TP,total_dwelling_units,26,310070,1.3341,103.8523,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
71,LOR 4 TOA PAYOH,4,1968,TP,total_dwelling_units,25,310071,1.3341,103.8522,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
72,LOR 5 TOA PAYOH,4,1968,TP,total_dwelling_units,12,310072,1.3339,103.852,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
73,LOR 4 TOA PAYOH,12,1968,TP,total_dwelling_units,151,310073,1.3347,103.8516,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
124,KIM TIAN PL,12,1969,BM,total_dwelling_units,288,160124,1.2839,103.8282,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
110,JLN BT MERAH,12,1969,BM,total_dwelling_units,167,160110,1.2798,103.8266,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
111,JLN BT MERAH,2,1969,BM,total_dwelling_units,2,160111,1.2799,103.8265,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
152,MEI LING ST,12,1968,QT,total_dwelling_units,80,140152,1.2938,103.8028,Queenstown,Singapore,98050,1.294167,103.786128
153,MEI LING ST,12,1968,QT,total_dwelling_units,80,140153,1.2937,103.8031,Queenstown,Singapore,98050,1.294167,103.786128
154,MEI LING ST,16,1968,QT,total_dwelling_units,140,140154,1.2935,103.8037,Queenstown,Singapore,98050,1.294167,103.786128
35,LOR 5 TOA PAYOH,25,1995,TP,total_dwelling_units,144,310035,1.3344,103.8544,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
36,LOR 5 TOA PAYOH,25,1996,TP,total_dwelling_units,144,310036,1.3352,103.8551,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
37,LOR 5 TOA PAYOH,25,1996,TP,total_dwelling_units,144,310037,1.3345,103.8553,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
43,BENDEMEER RD,12,1968,KWN,total_dwelling_units,229,330043,1.3211,103.8656,Kallang,Singapore,101210,1.31083,103.86556
123,LOR 1 TOA PAYOH,10,1969,TP,total_dwelling_units,128,310123,1.3386,103.8457,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
124,LOR 1 TOA PAYOH,10,1969,TP,total_dwelling_units,131,310124,1.3386,103.8446,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
125,LOR 1 TOA PAYOH,16,1969,TP,total_dwelling_units,164,310125,1.338,103.8458,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
126,LOR 1 TOA PAYOH,16,1969,TP,total_dwelling_units,198,310126,1.3381,103.8452,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
128,LOR 1 TOA PAYOH,16,1969,TP,total_dwelling_units,200,310128,1.3381,103.8439,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
155,MEI LING ST,12,1969,QT,total_dwelling_units,144,140155,1.2933,103.8047,Queenstown,Singapore,98050,1.294167,103.786128
156,MEI LING ST,12,1969,QT,total_dwelling_units,144,140156,1.2931,103.8042,Queenstown,Singapore,98050,1.294167,103.786128
4,LOR 7 TOA PAYOH,11,1969,TP,total_dwelling_units,110,310004,1.3389,103.8555,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
5,LOR 7 TOA PAYOH,11,1969,TP,total_dwelling_units,258,310005,1.3388,103.8558,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
6,LOR 7 TOA PAYOH,25,1997,TP,total_dwelling_units,117,310006,1.3385,103.8572,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
7,LOR 7 TOA PAYOH,25,1997,TP,total_dwelling_units,96,310007,1.3381,103.8574,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
116,LOR 2 TOA PAYOH,20,1969,TP,total_dwelling_units,291,310116,1.3404,103.8461,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
1,JLN KUKOH,17,1969,CT,total_dwelling_units,84,161001,1.2883,103.8398,Central Area,Singapore,939890,1.300556,103.821667
